,Model,Micro Accuracy,Macro Recall,Micro Recall,Macro Precision,Micro Precision,Macro F1,Micro F1
0,OVR_lr,0.94+0.02,0.94+0.02,0.94+0.02,0.94+0.02,0.94+0.02,0.94+0.02,0.94+0.02
1,OVR_svm,0.92+0.02,0.92+0.02,0.92+0.02,0.92+0.02,0.92+0.02,0.92+0.02,0.92+0.02
2,OVR_dt,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0
3,OVO_lr,0.98+0.0,0.98+0.0,0.98+0.0,0.98+0.0,0.98+0.0,0.98+0.0,0.98+0.0
4,OVO_svm,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0
5,OVO_dt,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0
6,ECOC_lr,0.61+0.18,0.61+0.18,0.61+0.18,0.53+0.24,0.61+0.18,0.53+0.22,0.53+0.22
7,ECOC_svm,0.67+0.09,0.68+0.09,0.67+0.09,0.57+0.14,0.67+0.09,0.58+0.11,0.58+0.11
8,ECOC_dt,0.92+0.09,0.92+0.1,0.92+0.09,0.9+0.14,0.92+0.09,0.91+0.13,0.91+0.13
9,Multiclass DT,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0
10,Multiclass SVM,0.98+0.0,0.98+0.0,0.98+0.0,0.98+0.0,0.98+0.0,0.98+0.0,0.98+0.0
11,DAG,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0,0.97+0.0
