Model,Subset Accuracy,Hamming Loss,Micro F1,Macro F1,Weighted F1,Jaccard Score,ROC-AUC,Dataset
Binary Relevance,0.38461538461538464,0.23474801061007958,0.7093596059113301,0.6712911960001036,0.7057466795214978,0.34084880636604775,0.726813248551478,df1
Classifier Chains,0.3978779840848806,0.24005305039787797,0.720679012345679,0.6943442576342913,0.7229627865749061,0.35344827586206895,0.7401060086943708,df1
Multi-label Decision Tree,0.3660477453580902,0.27453580901856767,0.6693290734824281,0.6407748193878573,0.6707663653323693,0.32891246684350134,0.6970323921583869,df1
RankSVM Approx,0.38726790450928383,0.23342175066312998,0.7105263157894737,0.6748233174616889,0.7072817789903613,0.33885941644562334,0.7298046458772587,df1
Binary Relevance,0.23557692307692307,0.24118589743589744,0.6980942828485457,0.5712254049194345,0.6805636631647494,0.5829326923076923,0.6348668170619775,df2
Classifier Chains,0.25961538461538464,0.2387820512820513,0.6977687626774848,0.5646498041508009,0.6766510267072567,0.5905448717948717,0.6337114179787374,df2
Multi-label Decision Tree,0.27403846153846156,0.25560897435897434,0.6741573033707865,0.5422331333943305,0.6603092199326525,0.5656249999999999,0.6266872591281791,df2
RankSVM Approx,0.2403846153846154,0.2419871794871795,0.7003968253968254,0.582010339538905,0.6858011695895417,0.5858173076923077,0.6395406377281688,df2
RAkEL,0.23557692307692307,0.265224358974359,0.6699900299102692,0.5451778478835717,0.6655041373129784,0.5567307692307693,0.6274094966624008,df2
Binary Relevance,0.15384615384615385,0.3060897435897436,0.5430622009569378,0.4669003121984863,0.538342068983966,0.39799679487179485,0.5958200243064157,df3
Classifier Chains,0.15865384615384615,0.3076923076923077,0.5439429928741093,0.46797458181933793,0.5393825039487108,0.39831730769230766,0.5949351897908296,df3
Multi-label Decision Tree,0.13942307692307693,0.297275641025641,0.5212903225806451,0.39696178608701366,0.5009957281034595,0.38950320512820513,0.5604048747619242,df3
RankSVM Approx,0.1201923076923077,0.34455128205128205,0.5190156599552572,0.45260893029656984,0.5271802730343235,0.38421474358974356,0.5837951449704354,df3
RAkEL,0.1346153846153846,0.3004807692307692,0.5247148288973384,0.42099658358568215,0.5168476078471477,0.3862980769230769,0.5779538803616983,df3
Binary Relevance,0.10096153846153846,0.3076923076923077,0.5339805825242718,0.46415874580575317,0.527808427902089,0.37924679487179486,0.5925618215506835,df4
Classifier Chains,0.10096153846153846,0.3036858974358974,0.5372405372405372,0.48068867647454233,0.5321472254343921,0.37908653846153845,0.6040908648914189,df4
Multi-label Decision Tree,0.20192307692307693,0.265224358974359,0.5761843790012804,0.465624742619329,0.5573594490689242,0.44999999999999996,0.6047706873115531,df4
RankSVM Approx,0.0673076923076923,0.35496794871794873,0.49486887115165334,0.43616949626609564,0.5083572582621675,0.34623397435897435,0.5794235082547287,df4
RAkEL,0.1201923076923077,0.3125,0.5301204819277109,0.4353581619883793,0.5269641139949289,0.3935096153846154,0.578182344804397,df4
